"world","bridge","bush","reward","pRot","max_pbait","min_pbait","pDecay","pStep","trialNum","trialStartTimeAbs","trialStart","clientTrialStart","trialEnd","goCueTime","choice","choiceTime","side","actBait_1","actBait_2","actRot_1","actRot_2","baited_1","baited_2","pBait_1","pBait_2","trialStart_C","clientTrialStart_C","postITI","postITI_C","goCueTime_C","choiceTime_2","postChoiceTimeMin","postChoiceTimeMin_C","trialEnd_C"
"2","1","0","0","0.1","0.32","0","0.97","0.02","1","1555984134697","0","60","5254","97","choseSwitch","526","left","0","0","0","0","0","0","0.16","0.16","0","54","95","88","91","521","4228","4225","5249"
"1","0","1","0","0.1","0.32","0","0.97","0.02","2","1555984139958","5260","5328","11839","5361","choseTrap","6872","left","0","0","0","0","0","0","0.2143247516131096","0.10567524838689041","0","64","5355","91","94","1608","10576","5312","6574"
"1","1","0","0","0.1","0.32","0","0.97","0.02","3","1555984146542","11845","11913","16963","11942","choseSwitch","13168","right","0","0","0","0","0","0","0.2301295080582732","0.0898704919417268","0","63","91","11938","89","1320","16872","5024","5114"
"2","0","2","2","0.1","0.32","0","0.97","0.02","4","1555984151666","16968","17031","22759","17066","choseTrap","17933","right","0","1","0","0","0","1","0.23171853299750034","0.08828146700249967","0","58","17060","88","90","960","21640","4668","5787"
"2","0","2","0","0.1","0.32","0","0.97","0.02","5","1555984157465","22767","22839","28042","22872","choseTrap","23380","right","0","0","0","0","0","0","0.20659895486153948","0.11340104513846053","0","66","22867","97","99","608","27081","4311","5271"
"2","0","2","0","0.1","0.32","0","0.97","0.02","6","1555984162748","28050","28116","33088","28146","choseTrap","28645","right","0","0","0","0","0","0","0.19075037241012954","0.12924962758987046","0","61","28143","88","91","589","32349","4293","5035"
"2","1","0","0","0.1","0.32","0","0.97","0.02","7","1555984167793","33095","33168","38381","33207","choseSwitch","33597","left","0","0","0","0","0","0","0.1784008834588503","0.1415991165411497","0","68","33201","103","105","498","37293","4194","5282"
"1","0","1","0","0.1","0.32","0","0.97","0.02","8","1555984173084","38387","38450","42746","38477","choseTrap","38986","left","0","0","0","0","0","0","0.19034933055735986","0.12965066944264014","0","59","38473","82","84","593","42682","4291","4355"
"1","1","0","0","0.1","0.32","0","0.97","0.02","9","1555984177452","42755","42821","48110","42855","choseSwitch","43569","right","0","0","0","0","0","0","0.16459191767851244","0.15540808232148756","0","61","42850","91","93","810","47269","4510","5351"
"2","0","2","0","0.1","0.32","0","0.97","0.02","10","1555984182814","48117","48183","52979","48217","choseTrap","49194","right","0","0","0","0","0","0","0.1815821972186886","0.1384178027813114","0","62","48212","91","94","1071","52894","4773","4858"
"2","0","2","0","0.1","0.32","0","0.97","0.02","11","1555984187684","52987","53053","58181","53087","choseTrap","53478","right","0","0","0","0","0","0","0.17804213355548615","0.14195786644451386","0","61","53082","91","93","486","57182","4191","5190"
"2","1","0","0","0.1","0.32","0","0.97","0.02","12","1555984192886","58189","58253","62433","58281","choseSwitch","58671","left","0","0","0","0","0","0","0.17600965818448755","0.14399034181551246","0","59","58278","85","87","478","62374","4180","4240"
"1","0","1","1","0.1","0.32","0","0.97","0.02","13","1555984197138","62441","62516","67418","62551","choseTrap","63498","left","1","0","0","0","1","0","0.1499320324052503","0.1700679675947497","0","69","62549","104","106","1053","67202","4757","4973"
"1","0","1","0","0.1","0.32","0","0.97","0.02","14","1555984202123","67426","67490","72921","67519","choseTrap","68003","left","0","0","0","0","0","0","0.1560686992812399","0.1639313007187601","0","60","67517","86","88","572","71704","4274","5489"
