,world,bridge,bush,reward,pRot,max_pbait,min_pbait,pDecay,pStep,trialNum,trialStartTimeAbs,trialStart,clientTrialStart,trialEnd,goCueTime,choice,choiceTime,side,actBait_1,actBait_2,actRot_1,actRot_2,baited_1,baited_2,pBait_1,pBait_2,trialStart_C,clientTrialStart_C,postITI,postITI_C,goCueTime_C,choiceTime_2,postChoiceTimeMin,postChoiceTimeMin_C,trialEnd_C,trialStart_s,goCueTime_s,choiceTime_s,postChoiceTimeMin_s,trialEnd_s,rewardCue_s,len_begin_choice_s,len_choice_reward_s,len_reward_end_s,stay_hit,stay_miss,switch,stay_hit_prior,stay_miss_prior,switch_prior
0,2,1,0,0,0.1,0.32,0,0.97,0.02,1,1555984134697,0,60,5254,97,choseSwitch,526,left,0,0,0,0,0,0,0.16,0.16,0,54,95,88,91,521,4228,4225,5249,0.0,0.097,0.526,4.228,5.254,3.226,0.526,2.7,2.0279999999999996,0,0,1,0,0,0
1,1,0,1,0,0.1,0.32,0,0.97,0.02,2,1555984139958,5260,5328,11839,5361,choseTrap,6872,left,0,0,0,0,0,0,0.2143247516131096,0.1056752483868904,0,64,5355,91,94,1608,10576,5312,6574,5.26,5.361,6.872,10.576,11.839,9.572,1.612,2.6999999999999993,2.2670000000000012,0,1,0,0,0,1
2,1,1,0,0,0.1,0.32,0,0.97,0.02,3,1555984146542,11845,11913,16963,11942,choseSwitch,13168,right,0,0,0,0,0,0,0.2301295080582732,0.0898704919417268,0,63,91,11938,89,1320,16872,5024,5114,11.845,11.942,13.168,16.872,16.963,15.867999999999999,1.3229999999999986,2.6999999999999993,1.0950000000000024,0,0,1,0,1,0
3,2,0,2,2,0.1,0.32,0,0.97,0.02,4,1555984151666,16968,17031,22759,17066,choseTrap,17933,right,0,1,0,0,0,1,0.23171853299750034,0.08828146700249967,0,58,17060,88,90,960,21640,4668,5787,16.968,17.066,17.933,21.64,22.759,20.633,0.9649999999999999,2.6999999999999993,2.1260000000000012,1,0,0,0,0,1
4,2,0,2,0,0.1,0.32,0,0.97,0.02,5,1555984157465,22767,22839,28042,22872,choseTrap,23380,right,0,0,0,0,0,0,0.20659895486153948,0.11340104513846053,0,66,22867,97,99,608,27081,4311,5271,22.767,22.872,23.38,27.081,28.042,26.08,0.6129999999999995,2.6999999999999993,1.9620000000000033,0,1,0,1,0,0
5,2,0,2,0,0.1,0.32,0,0.97,0.02,6,1555984162748,28050,28116,33088,28146,choseTrap,28645,right,0,0,0,0,0,0,0.19075037241012954,0.12924962758987046,0,61,28143,88,91,589,32349,4293,5035,28.05,28.146,28.645,32.349,33.088,31.345,0.5949999999999989,2.6999999999999993,1.743000000000002,0,1,0,0,1,0
6,2,1,0,0,0.1,0.32,0,0.97,0.02,7,1555984167793,33095,33168,38381,33207,choseSwitch,33597,left,0,0,0,0,0,0,0.1784008834588503,0.1415991165411497,0,68,33201,103,105,498,37293,4194,5282,33.095,33.207,33.597,37.293,38.381,36.297000000000004,0.5020000000000024,2.700000000000003,2.083999999999996,0,0,1,0,1,0
7,1,0,1,0,0.1,0.32,0,0.97,0.02,8,1555984173084,38387,38450,42746,38477,choseTrap,38986,left,0,0,0,0,0,0,0.19034933055735986,0.12965066944264014,0,59,38473,82,84,593,42682,4291,4355,38.387,38.477,38.986,42.682,42.746,41.686,0.5989999999999966,2.700000000000003,1.0600000000000023,0,1,0,0,0,1
8,1,1,0,0,0.1,0.32,0,0.97,0.02,9,1555984177452,42755,42821,48110,42855,choseSwitch,43569,right,0,0,0,0,0,0,0.16459191767851244,0.15540808232148756,0,61,42850,91,93,810,47269,4510,5351,42.755,42.855,43.569,47.269,48.11,46.269000000000005,0.8140000000000001,2.700000000000003,1.840999999999994,0,0,1,0,1,0
9,2,0,2,0,0.1,0.32,0,0.97,0.02,10,1555984182814,48117,48183,52979,48217,choseTrap,49194,right,0,0,0,0,0,0,0.1815821972186886,0.1384178027813114,0,62,48212,91,94,1071,52894,4773,4858,48.117,48.217,49.194,52.894,52.979,51.894000000000005,1.0770000000000053,2.700000000000003,1.0849999999999937,0,1,0,0,0,1
10,2,0,2,0,0.1,0.32,0,0.97,0.02,11,1555984187684,52987,53053,58181,53087,choseTrap,53478,right,0,0,0,0,0,0,0.17804213355548615,0.14195786644451386,0,61,53082,91,93,486,57182,4191,5190,52.987,53.087,53.478,57.182,58.181,56.178000000000004,0.49099999999999966,2.700000000000003,2.002999999999993,0,1,0,0,1,0
11,2,1,0,0,0.1,0.32,0,0.97,0.02,12,1555984192886,58189,58253,62433,58281,choseSwitch,58671,left,0,0,0,0,0,0,0.17600965818448755,0.14399034181551246,0,59,58278,85,87,478,62374,4180,4240,58.189,58.281,58.671,62.374,62.433,61.371,0.4819999999999993,2.700000000000003,1.0619999999999976,0,0,1,0,1,0
12,1,0,1,1,0.1,0.32,0,0.97,0.02,13,1555984197138,62441,62516,67418,62551,choseTrap,63498,left,1,0,0,0,1,0,0.1499320324052503,0.1700679675947497,0,69,62549,104,106,1053,67202,4757,4973,62.441,62.551,63.498,67.202,67.418,66.198,1.056999999999995,2.6999999999999957,1.220000000000013,1,0,0,0,0,1
